Timestamp,InstanceType,ProductDescription,SpotPrice,AvailabilityZone
2023-12-23 05:02:24+00:00,c5a.2xlarge,Linux/UNIX,0.162700,us-east-1c
2023-12-23 04:17:31+00:00,c5a.2xlarge,Linux/UNIX,0.148900,us-east-1f
2023-12-23 02:32:15+00:00,c5a.2xlarge,Linux/UNIX,0.186700,us-east-1b
2023-12-22 23:47:42+00:00,c5a.2xlarge,Linux/UNIX,0.162200,us-east-1c
2023-12-22 22:47:45+00:00,c5a.2xlarge,Linux/UNIX,0.150100,us-east-1f
2023-12-22 22:17:01+00:00,c5a.2xlarge,Linux/UNIX,0.155700,us-east-1e
2023-12-22 22:17:01+00:00,c5a.2xlarge,Linux/UNIX,0.176100,us-east-1d
2023-12-22 20:17:10+00:00,c5a.2xlarge,Linux/UNIX,0.161800,us-east-1c
2023-12-22 18:17:34+00:00,c5a.2xlarge,Linux/UNIX,0.157200,us-east-1e
2023-12-22 18:02:04+00:00,c5a.2xlarge,Linux/UNIX,0.186300,us-east-1b
2023-12-22 18:02:04+00:00,c5a.2xlarge,Linux/UNIX,0.175600,us-east-1d
2023-12-22 17:47:02+00:00,c5a.2xlarge,Linux/UNIX,0.149200,us-east-1f
2023-12-22 13:17:29+00:00,c5a.2xlarge,Linux/UNIX,0.161500,us-east-1c
2023-12-22 12:34:02+00:00,c5a.2xlarge,Linux/UNIX,0.156700,us-east-1e
2023-12-22 06:47:41+00:00,c5a.2xlarge,Linux/UNIX,0.150200,us-east-1f
2023-12-22 06:17:37+00:00,c5a.2xlarge,Linux/UNIX,0.161100,us-east-1c
2023-12-22 04:17:12+00:00,c5a.2xlarge,Linux/UNIX,0.175400,us-east-1d
2023-12-22 03:32:33+00:00,c5a.2xlarge,Linux/UNIX,0.157600,us-east-1e
2023-12-22 00:32:02+00:00,c5a.2xlarge,Linux/UNIX,0.186000,us-east-1b
2023-12-21 23:02:05+00:00,c5a.2xlarge,Linux/UNIX,0.161000,us-east-1c
2023-12-21 22:02:36+00:00,c5a.2xlarge,Linux/UNIX,0.149500,us-east-1f
2023-12-21 20:17:19+00:00,c5a.2xlarge,Linux/UNIX,0.174900,us-east-1d
2023-12-21 19:32:11+00:00,c5a.2xlarge,Linux/UNIX,0.160700,us-east-1c
2023-12-21 19:17:56+00:00,c5a.2xlarge,Linux/UNIX,0.156800,us-east-1e
2023-12-21 17:18:12+00:00,c5a.2xlarge,Linux/UNIX,0.185400,us-east-1b
2023-12-21 15:17:06+00:00,c5a.2xlarge,Linux/UNIX,0.160300,us-east-1c
2023-12-21 12:32:40+00:00,c5a.2xlarge,Linux/UNIX,0.174400,us-east-1d
2023-12-21 12:17:31+00:00,c5a.2xlarge,Linux/UNIX,0.156000,us-east-1e
2023-12-21 08:02:01+00:00,c5a.2xlarge,Linux/UNIX,0.160200,us-east-1c
2023-12-21 07:47:30+00:00,c5a.2xlarge,Linux/UNIX,0.185000,us-east-1b
2023-12-21 06:02:36+00:00,c5a.2xlarge,Linux/UNIX,0.148900,us-east-1f
2023-12-21 04:32:32+00:00,c5a.2xlarge,Linux/UNIX,0.156300,us-east-1e
2023-12-21 03:02:09+00:00,c5a.2xlarge,Linux/UNIX,0.174300,us-east-1d
2023-12-21 02:02:30+00:00,c5a.2xlarge,Linux/UNIX,0.184900,us-east-1b
2023-12-20 23:32:36+00:00,c5a.2xlarge,Linux/UNIX,0.148200,us-east-1f
2023-12-20 23:17:38+00:00,c5a.2xlarge,Linux/UNIX,0.160000,us-east-1c
2023-12-20 22:47:06+00:00,c5a.2xlarge,Linux/UNIX,0.184700,us-east-1b
2023-12-20 21:17:49+00:00,c5a.2xlarge,Linux/UNIX,0.155600,us-east-1e
2023-12-20 18:17:03+00:00,c5a.2xlarge,Linux/UNIX,0.173700,us-east-1d
2023-12-20 16:32:37+00:00,c5a.2xlarge,Linux/UNIX,0.159700,us-east-1c
2023-12-20 16:02:31+00:00,c5a.2xlarge,Linux/UNIX,0.148000,us-east-1f
2023-12-20 15:02:01+00:00,c5a.2xlarge,Linux/UNIX,0.184500,us-east-1b
2023-12-20 14:02:38+00:00,c5a.2xlarge,Linux/UNIX,0.155100,us-east-1e
2023-12-20 12:02:30+00:00,c5a.2xlarge,Linux/UNIX,0.173400,us-east-1d
2023-12-20 11:17:22+00:00,c5a.2xlarge,Linux/UNIX,0.148500,us-east-1f
2023-12-20 10:32:02+00:00,c5a.2xlarge,Linux/UNIX,0.159400,us-east-1c
2023-12-20 09:02:33+00:00,c5a.2xlarge,Linux/UNIX,0.184000,us-east-1b
2023-12-20 07:17:11+00:00,c5a.2xlarge,Linux/UNIX,0.173000,us-east-1d
2023-12-20 05:32:37+00:00,c5a.2xlarge,Linux/UNIX,0.154400,us-east-1e
2023-12-20 04:47:12+00:00,c5a.2xlarge,Linux/UNIX,0.183900,us-east-1b
2023-12-20 03:47:32+00:00,c5a.2xlarge,Linux/UNIX,0.147900,us-east-1f
2023-12-20 02:17:36+00:00,c5a.2xlarge,Linux/UNIX,0.154300,us-east-1e
2023-12-20 00:47:04+00:00,c5a.2xlarge,Linux/UNIX,0.159100,us-east-1c
2023-12-20 00:02:05+00:00,c5a.2xlarge,Linux/UNIX,0.172600,us-east-1d
2023-12-19 21:17:37+00:00,c5a.2xlarge,Linux/UNIX,0.183800,us-east-1b
2023-12-19 19:32:48+00:00,c5a.2xlarge,Linux/UNIX,0.154000,us-east-1e
2023-12-19 16:32:12+00:00,c5a.2xlarge,Linux/UNIX,0.158800,us-east-1c
2023-12-19 15:02:09+00:00,c5a.2xlarge,Linux/UNIX,0.172400,us-east-1d
2023-12-19 14:02:36+00:00,c5a.2xlarge,Linux/UNIX,0.147600,us-east-1f
2023-12-19 13:47:13+00:00,c5a.2xlarge,Linux/UNIX,0.183200,us-east-1b
2023-12-19 11:32:12+00:00,c5a.2xlarge,Linux/UNIX,0.154200,us-east-1e
2023-12-19 10:47:47+00:00,c5a.2xlarge,Linux/UNIX,0.158400,us-east-1c
2023-12-19 09:32:08+00:00,c5a.2xlarge,Linux/UNIX,0.147500,us-east-1f
2023-12-19 09:17:37+00:00,c5a.2xlarge,Linux/UNIX,0.172300,us-east-1d
2023-12-19 08:47:16+00:00,c5a.2xlarge,Linux/UNIX,0.183000,us-east-1b
2023-12-19 08:17:05+00:00,c5a.2xlarge,Linux/UNIX,0.155900,us-east-1e
2023-12-19 05:47:05+00:00,c5a.2xlarge,Linux/UNIX,0.158100,us-east-1c
2023-12-19 03:02:39+00:00,c5a.2xlarge,Linux/UNIX,0.146800,us-east-1f
2023-12-19 03:02:39+00:00,c5a.2xlarge,Linux/UNIX,0.182800,us-east-1b
2023-12-19 01:02:13+00:00,c5a.2xlarge,Linux/UNIX,0.171900,us-east-1d
2023-12-19 00:47:44+00:00,c5a.2xlarge,Linux/UNIX,0.157900,us-east-1e
2023-12-18 23:02:09+00:00,c5a.2xlarge,Linux/UNIX,0.157700,us-east-1c
2023-12-18 19:02:43+00:00,c5a.2xlarge,Linux/UNIX,0.159200,us-east-1e
2023-12-18 18:17:15+00:00,c5a.2xlarge,Linux/UNIX,0.157300,us-east-1c
2023-12-18 18:02:38+00:00,c5a.2xlarge,Linux/UNIX,0.145700,us-east-1f
2023-12-18 17:32:38+00:00,c5a.2xlarge,Linux/UNIX,0.171500,us-east-1d
2023-12-18 14:17:57+00:00,c5a.2xlarge,Linux/UNIX,0.182600,us-east-1b
2023-12-18 12:02:05+00:00,c5a.2xlarge,Linux/UNIX,0.171300,us-east-1d
2023-12-18 11:32:42+00:00,c5a.2xlarge,Linux/UNIX,0.144900,us-east-1f
2023-12-18 11:32:42+00:00,c5a.2xlarge,Linux/UNIX,0.160900,us-east-1e
2023-12-18 06:32:35+00:00,c5a.2xlarge,Linux/UNIX,0.182500,us-east-1b
2023-12-18 05:47:10+00:00,c5a.2xlarge,Linux/UNIX,0.156900,us-east-1c
2023-12-18 04:17:36+00:00,c5a.2xlarge,Linux/UNIX,0.160800,us-east-1e
2023-12-18 04:02:09+00:00,c5a.2xlarge,Linux/UNIX,0.144400,us-east-1f
2023-12-18 00:47:07+00:00,c5a.2xlarge,Linux/UNIX,0.182000,us-east-1b
2023-12-18 00:32:07+00:00,c5a.2xlarge,Linux/UNIX,0.156600,us-east-1c
2023-12-17 22:32:42+00:00,c5a.2xlarge,Linux/UNIX,0.170800,us-east-1d
2023-12-17 21:47:45+00:00,c5a.2xlarge,Linux/UNIX,0.160500,us-east-1e
2023-12-17 21:32:39+00:00,c5a.2xlarge,Linux/UNIX,0.181700,us-east-1b
2023-12-17 19:17:58+00:00,c5a.2xlarge,Linux/UNIX,0.144300,us-east-1f
2023-12-17 16:47:12+00:00,c5a.2xlarge,Linux/UNIX,0.169900,us-east-1d
2023-12-17 14:32:13+00:00,c5a.2xlarge,Linux/UNIX,0.162600,us-east-1e
2023-12-17 13:02:08+00:00,c5a.2xlarge,Linux/UNIX,0.156200,us-east-1c
2023-12-17 12:32:05+00:00,c5a.2xlarge,Linux/UNIX,0.181400,us-east-1b
2023-12-17 12:02:07+00:00,c5a.2xlarge,Linux/UNIX,0.143700,us-east-1f
2023-12-17 10:02:05+00:00,c5a.2xlarge,Linux/UNIX,0.162000,us-east-1e
2023-12-17 08:02:08+00:00,c5a.2xlarge,Linux/UNIX,0.169600,us-east-1d
2023-12-17 07:17:05+00:00,c5a.2xlarge,Linux/UNIX,0.180900,us-east-1b
2023-12-17 05:17:47+00:00,c5a.2xlarge,Linux/UNIX,0.161500,us-east-1e
2023-12-17 04:02:03+00:00,c5a.2xlarge,Linux/UNIX,0.168800,us-east-1d
2023-12-17 03:47:44+00:00,c5a.2xlarge,Linux/UNIX,0.143200,us-east-1f
2023-12-17 00:32:16+00:00,c5a.2xlarge,Linux/UNIX,0.156400,us-east-1c
2023-12-16 23:47:36+00:00,c5a.2xlarge,Linux/UNIX,0.161200,us-east-1e
